Human	Mouse	Rat
CLINT1	Clint1	Clint1
RUFY1	Rufy1	Rufy1
ADAMTS2	Adamts2	Adamts2
FNIP1	Fnip1	Fnip1
MFAP3	Mfap3	Mfap3
GEMIN5	Gemin5	Gemin5
MRPL22	Mrpl22	Mrpl22
TRIM58	Trim58	Trim58
IBA57	Iba57	Iba57
WNT9A	Wnt9a	Wnt9a
PRSS38	Prss38	Prss38
NLRP3	Nlrp3	Nlrp3
FLCN	Flcn	Flcn
TOM1L2	Tom1l2	Tom1l2
DHRS7B	Dhrs7b	Dhrs7b
TMEM11	Tmem11	Tmem11
USP22	Usp22	Usp22
ARHGAP44	Arhgap44	Arhgap44
USP43	Usp43	Usp43
CNTROB	Cntrob	Cntrob
CHD3	Chd3	Chd3
KDM6B	Kdm6b	Kdm6b
WRAP53	Wrap53	Wrap53
KCTD11	Kctd11	Kctd11
ACAP1	Acap1	Acap1
NEURL4	Neurl4	Neurl4
SLC16A11	Slc16a11	Slc16a11
GLTPD2	Gltpd2	Gltpd2
SPAG7	Spag7	Spag7
CAMTA2	Camta2	Camta2
DHX33	Dhx33	Dhx33
WSCD1	Wscd1	Wscd1
SPNS2	Spns2	Spns2
CORO6	Coro6	Coro6
TP53I13	Trp53i13	Tp53i13
TAOK1	Taok1	Taok1
FAM222B	Fam222b	Fam222b
PROCA1	Proca1	Proca1
RSKR	Rskr	Rskr
EVI2B	Evi2b	Evi2b
UTP6	Utp6	Utp6
NLE1	Nle1	Nle1
UNC45B	Unc45b	Unc45b
HEATR6	Heatr6	Heatr6
TADA2A	Tada2a	Tada2a
MRM1	Mrm1	Mrm1
GGNBP2	Ggnbp2	Ggnbp2
PTRH2	Ptrh2	Ptrh2
TRIM25	Trim25	Trim25
C17orf67	Gm525	C10h17orf67
HLF	Hlf	Hlf
UTP18	Utp18	Utp18
SPATA20	Spata20	Spata20
SAMD14	Samd14	Samd14
KAT7	Kat7	Kat7
PRR15L	Prr15l	Prr15l
SCRN2	Scrn2	Scrn2
GPR179	Gpr179	Gpr179
CISD3	Cisd3	Cisd3
ARL5C	Arl5c	Arl5c
STAC2	Stac2	Stac2
NR1D1	Nr1d1	Nr1d1
TNS4	Tns4	Tns4
KLHL11	Klhl11	Klhl11
PLEKHH3	Plekhh3	Plekhh3
RUNDC1	Rundc1	Rundc1
TMEM106A	Tmem106a	Tmem106a
DHX8	Dhx8	Dhx8
PYY	Pyy	Pyy
NAGS	Nags	Nags
HROB	Hrob	Hrob
ASB16	Asb16	Asb16
ATXN7L3	Atxn7l3	Atxn7l3
FAM171A2	Fam171a2	Fam171a2
CDC27	Cdc27	Cdc27
ABCA9	Abca9	Abca9
ABCA5	Abca5	Abca5
GPR142	Gpr142	Gpr142
CD300A	Cd300a	Cd300a
CD300LB	Cd300lb	Cd300lb
HID1	Hid1	Hid1
SLC16A5	Slc16a5	Slc16a5
LLGL2	Llgl2	Llgl2
MYO15B	Myo15b	Myo15b
UNK	Unk	Unk
TRIM47	Trim47	Trim47
FBF1	Fbf1	Fbf1
SRP68	Srp68	Srp68
RNF157	Rnf157	Rnf157
QRICH2	Qrich2	Qrich2
UBE2O	Ube2o	Ube2o
RHBDF2	Rhbdf2	Rhbdf2
TNRC6C	Tnrc6c	Tnrc6c
TMC6	Tmc6	Tmc6
TMC8	Tmc8	Tmc8
ENGASE	Engase	Engase
LRRC45	Lrrc45	Lrrc45
CYBC1	Cybc1	Cybc1
RAB40B	Rab40b	Rab40b
DNAJC27	Dnajc27	Dnajc27
UBXN2A	Ubxn2a	Ubxn2a
TRIB2	Trib2	Trib2
SLC66A3	Slc66a3	Slc66a3
NOL10	Nol10	Nol10
TRAPPC12	Trappc12	Trappc12
SNX13	Snx13	Snx13
ANKMY2	Ankmy2	Ankmy2
STXBP6	Stxbp6	Stxbp6
G2E3	G2e3	G2e3
BAZ1A	Baz1a	Baz1a
MBIP	Mbip	Mbip
DORIP1	Gm527	Dorip1
MIS18BP1	Mis18bp1	Mis18bp1
L2HGDH	L2hgdh	L2hgdh
GPHB5	Gphb5	Gphb5
PLEKHD1	Plekhd1	Plekhd1
SUSD6	Susd6	Susd6
SIPA1L1	Sipa1l1	Sipa1l1
ZFYVE1	Zfyve1	Zfyve1
ACOT6	Acot6	Acot6
FAM161B	Fam161b	Fam161b
COQ6	Coq6	Coq6
LIN52	Lin52	Lin52
MLH3	Mlh3	Mlh3
NEK9	Nek9	Nek9
FLVCR2	Flvcr2	Flvcr2
CIPC	Cipc	Cipc
TMEM63C	Tmem63c	Tmem63c
POMT2	Pomt2	Pomt2
AHSA1	Ahsa1	Ahsa1
ISM2	Ism2	Ism2
LYSMD1	Lysmd1	Lysmd1
NRDE2	Nrde2	Nrde2
DGLUCY	Dglucy	Dglucy
RIN3	Rin3	Rin3
ITPK1	Itpk1	Itpk1
UNC79	Unc79	Unc79
RCOR1	Rcor1	Rcor1
EIF5	Eif5	Eif5
RD3L	Rd3l	Rd3l
CEP170B	Cep170b	Cep170b
CLBA1	Clba1	Clba1
PACS2	Pacs2	Pacs2
DYNC2I1	Dync2i1	Dync2i1
RAPGEF5	Rapgef5	Rapgef5
CDCA7L	Cdca7l	Cdca7l
TMEM196	Tmem196	Tmem196
LARP4B	Larp4b	Larp4b
HEATR1	Heatr1	Heatr1
POU6F2	Pou6f2	Pou6f2
VPS41	Vps41	Vps41
ZNF322	Zfp322a	Zfp322a
SLC17A2	Slc17a2	Slc17a2
MBOAT1	Mboat1	Mboat1
GMDS	Gmds	Gmds
OFCC1	Ofcc1	Ofcc1
PHACTR1	Phactr1	Phactr1
MYLIP	Mylip	Mylip
KDM1B	Kdm1b	Kdm1b
RNF144B	Rnf144b	Rnf144b
PTPDC1	Ptpdc1	Ptpdc1
FAM120A	Fam120a	Fam120a
EIF4E1B	Eif4e1b	Eif4e1b
B4GALT7	B4galt7	B4galt7
CDC14B	Cdc14b	Cdc14b
ICE1	Ice1	Ice1
CLPTM1L	Clptm1l	Clptm1l
RFESD	Rfesd	Rfesd
SKIC3	Skic3	Skic3
ANKRD34B	Ankrd34b	Ankrd34b
ZFYVE16	Zfyve16	Zfyve16
LHFPL2	Lhfpl2	Lhfpl2
WDR41	Wdr41	Wdr41
PDE8B	Pde8b	Pde8b
GCNT4	Gcnt4	Gcnt4
BTF3	Btf3	Btf3
FCHO2	Fcho2	Fcho2
MRPS27	Mrps27	Mrps27
MARVELD2	Marveld2	Marveld2
SGTB	Sgtb	Sgtb
DEPDC1B	Depdc1b	Depdc1b
MIER3	Mier3	Mier3
IL31RA	Il31ra	Il31ra
DHX29	Dhx29	Dhx29
CCNO	Ccno	Ccno
ARL15	Arl15	Arl15
PAIP1	Paip1	Paip1
PXK	Pxk	Pxk
CEP15	Cep15	Cep15
SNTN	Sntn	Sntn
LRRC3B	Lrrc3b	Lrrc3b
UBE2E2	Ube2e2	Ube2e2
SEC24C	Sec24c	Sec24c
ZNF503	Zfp503	Zfp503
POLR3A	Polr3a	Polr3a
TASOR	Tasor	Tasor
CHDH	Chdh	Chdh
SEMA3G	Sema3g	Sema3g
OXNAD1	Oxnad1	Oxnad1
WAPL	Wapl	Wapl
FERMT2	Fermt2	Fermt2
WDHD1	Wdhd1	Wdhd1
MAPK1IP1L	Mapk1ip1l	Mapk1ip1l
DLGAP5	Dlgap5	Dlgap5
TMEM260	Tmem260	Tmem260
TTC5	Ttc5	Ttc5
PIP4P1	Pip4p1	Pip4p1
EDDM3B	Eddm3b	NA
TPPP2	Tppp2	Tppp2
HAUS4	Haus4	Haus4
KHNYN	Khnyn	Khnyn
CPAP	Cpap	Cpap
SKA3	Ska3	Ska3
SHISA2	Shisa2	Shisa2
MTMR6	Mtmr6	Mtmr6
SPATA13	Spata13	Spata13
ARL11	Arl11	Arl11
FAM167A	Fam167a	Fam167a
XKR6	Xkr6	Xkr6
HMBOX1	Hmbox1	Hmbox1
SCARA3	Scara3	Scara3
CCAR2	Ccar2	Ccar2
FAM216B	Fam216b	Fam216b
AKAP11	Akap11	Akap11
VWA8	Vwa8	Vwa8
PCDH17	Pcdh17	Pcdh17
TDRD3	Tdrd3	Tdrd3
PCDH20	Pcdh20	Pcdh20
SOX21	Sox21	Sox21
FARP1	Farp1	Farp1
STK24	Stk24	Stk24
GGACT	Ggact	Ggact
ITGBL1	Itgbl1	Itgbl1
RANBP3L	Ranbp3l	Ranbp3l
UGT3A1	Ugt3a1	NA
OTULINL	Otulinl	Otulinl
TRIO	Trio	Trio
MARCHF6	Marchf6	Marchf6
NIPAL2	Nipal2	Nipal2
DCAF13	Dcaf13	Dcaf13
ABRA	Abra	Abra
ENY2	Eny2	Eny2
WASHC5	Washc5	Washc5
CYRIB	Cyrib	Cyrib
THEM6	Them6	Them6
ZC3H3	Zc3h3	Zc3h3
MROH6	Mroh6	Mroh6
NAPRT	Naprt	Naprt
CCDC166	Ccdc166	Ccdc166
NRBP2	Nrbp2	Nrbp2
EPPK1	Eppk1	Eppk1
MROH1	Mroh1	Mroh1
LRRC14	Lrrc14	Lrrc14
C8orf82	C030006K11Rik	C7h8orf82
ARHGAP39	Arhgap39	Arhgap39
ZNF7	Zfp7	Zfp7
ANKRD54	Ankrd54	Ankrd54
EIF3L	Eif3l	Eif3l
TMEM184B	Tmem184b	Tmem184b
TOMM22	Tomm22	Tomm22
SUN2	Sun2	Sun2
MRTFA	Mrtfa	Mrtfa
MCAT	Mcat	Mcat
TTLL12	Ttll12	Ttll12
MPPED1	Mpped1	Mpped1
RTL6	Rtl6	Rtl6
KIAA0930	5031439G07Rik	Kiaa0930
GRAMD4	Gramd4	Gramd4
CERK	Cerk	Cerk
TBC1D22A	Tbc1d22a	Tbc1d22a
BRD1	Brd1	Brd1
ZBED4	Zbed4	Zbed4
ALG12	Alg12	Alg12
SELENOO	Selenoo	Selenoo
ADM2	Adm2	Adm2
MROH2B	Mroh2b	Mroh2b
GXYLT1	Gxylt1	Gxylt1
PPHLN1	Pphln1	Pphln1
ADAMTS20	Adamts20	Adamts20
DBX2	Dbx2	Dbx2
SENP1	Senp1	Senp1
RND1	Rnd1	Rnd1
KRT73	Krt73	Krt73
SPRYD3	Spryd3	Spryd3
SOAT2	Soat2	Soat2
AAAS	Aaas	Aaas
ATF7	Atf7	Atf7
RMI2	Rmi2	Rmi2
CPPED1	Cpped1	Cpped1
SPIDR	Spidr	Spidr
FGD4	Fgd4	Fgd4
TMEM191C	Tmem191	Tmem191c
SLC7A4	Slc7a4	Slc7a4
KLHL22	Klhl22	Klhl22
SCARF2	Scarf2	Scarf2
RTP2	Rtp2	Rtp2
UTS2B	Uts2b	Uts2b
ATP13A4	Atp13a4	Atp13a4
ATP13A3	Atp13a3	Atp13a3
TMEM44	Tmem44	Tmem44
LSG1	Lsg1	Lsg1
FAM43A	Fam43a	Fam43a
NRROS	Nrros	Nrros
UBXN7	Ubxn7	NA
MUC20	Muc20	Muc20
SLC49A4	Slc49a4	Slc49a4
POGLUT1	Poglut1	Poglut1
DZIP3	Dzip3	Dzip3
CIP2A	Cip2a	Cip2a
IMPG2	Impg2	Impg2
CLDND1	Cldnd1	Cldnd1
CRYBG3	Crybg3	Crybg3
CSNK2A2IP	Csnk2a2ip	Csnk2a2ip
RBM11	Rbm11	Rbm11
CYYR1	Cyyr1	Cyyr1
MAP3K7CL	Map3k7cl	Map3k7cl
SCAF4	Scaf4	Scaf4
SETD4	Setd4	Setd4
ZDHHC14	Zdhhc14	Zdhhc14
NOX3	Nox3	Nox3
TFB1M	Tfb1m	Tfb1m
FLYWCH1	Flywch1	Flywch1
TBC1D24	Tbc1d24	Tbc1d24
TRAF7	Traf7	Traf7
RAB40C	Rab40c	Rab40c
LEMD2	Lemd2	Lemd2
ILRUN	Ilrun	Ilrun
BLTP3A	Bltp3a	Bltp3a
ANKS1A	Anks1	Anks1a
ZNF76	Zfp523	Zfp523
SLC26A8	Slc26a8	Slc26a8
BTBD9	Btbd9	Btbd9
SLC37A1	Slc37a1	Slc37a1
ADAMTS10	Adamts10	Adamts10
MARCHF2	Marchf2	Marchf2
TRIM31	Trim31	Trim31
ADGRF5	Adgrf5	Adgrf5
ENPP4	Enpp4	Enpp4
AARS2	Aars2	Aars2
TMEM63B	Tmem63b	Tmem63b
LRRC73	Lrrc73	Lrrc73
ABCC10	Abcc10	Abcc10
RRP36	Rrp36	Rrp36
UBR2	Ubr2	Ubr2
TRERF1	Trerf1	Trerf1
C6orf132	AI661453	C9h6orf132
USP49	Usp49	Usp49
PLCL2	Plcl2	Plcl2
DPP9	Dpp9	Dpp9
SAFB2	Safb2	Safb2
MICOS13	Micos13	Micos13
DUS3L	Dus3l	Dus3l
CRB3	Crb3	Crb3
PCARE	Pcare	Pcare
LCLAT1	Lclat1	Lclat1
SRSF7	Srsf7	Srsf7
TTC7A	Ttc7	Ttc7a
FBXO11	Fbxo11	Fbxo11
SVIL	Svil	Svil
WAC	Wac	Wac
GJD4	Gjd4	Gjd4
THOC1	Thoc1	Thoc1
MIB1	Mib1	Mib1
RBBP8	Rbbp8	Rbbp8
ANKRD29	Ankrd29	Ankrd29
ZNF521	Zfp521	Zfp521
RSL24D1	Rsl24d1	Rsl24d1
KLHL14	Klhl14	Klhl14
INO80C	Ino80c	Ino80c
RPRD1A	Rprd1a	Rprd1a
FHOD3	Fhod3	Fhod3
KIAA1328	AW554918	Kiaa1328
AMMECR1L	Ammecr1l	Ammecr1l
LIMS2	Lims2	Lims2
WDR36	Wdr36	Wdr36
FAM13B	Fam13b	Fam13b
REEP2	Reep2	Reep2
ETF1	Etf1	Etf1
RELL2	Rell2	Rell2
RBM27	Rbm27	Rbm27
C5orf46	Gm94	C18h5orf46
TICAM2	Ticam2	Ticam2
FAM170A	Fam170a	Fam170a
PRDM6	Prdm6	Prdm6
CEP120	Cep120	Cep120
SLC27A6	Slc27a6	Slc27a6
MINAR2	Minar2	Minar2
PDE6A	Pde6a	Pde6a
SH3TC2	Sh3tc2	Sh3tc2
ONECUT2	Onecut2	Onecut2
ALPK2	Alpk2	Alpk2
CPLX4	Cplx4	Cplx4
MPPE1	Mppe1	Mppe1
PRELID3A	Prelid3a	Prelid3a
CEP76	Cep76	Cep76
ST8SIA5	St8sia5	St8sia5
ARK2C	Ark2c	Ark2c
PTGR3	Ptgr3	Ptgr3
CD226	Cd226	Cd226
PPP2R5B	Ppp2r5b	Ppp2r5b
SNX32	Snx32	Snx32
CATSPER1	Catsper1	Catsper1
NPAS4	Npas4	Npas4
LRFN4	Lrfn4	Lrfn4
KDM2A	Kdm2a	Kdm2a
NDUFS8	Ndufs8	Ndufs8
KMT5B	Kmt5b	Kmt5b
TAF6L	Taf6l	Taf6l
UBXN1	Ubxn1	Ubxn1
EML3	Eml3	Eml3
MYRF	Myrf	Myrf
CYB561A3	Cyb561a3	Cyb561a3
TKFC	Tkfc	Tkfc
OOSP2	Oosp2	NA
PATL1	Patl1	Patl1
NMRK1	Nmrk1	Nmrk1
C9orf40	D030056L22Rik	C1h9orf40
TRPM6	Trpm6	Trpm6
RORB	Rorb	Rorb
ABHD17B	Abhd17b	Abhd17b
SMC5	Smc5	Smc5
TMEM252	Tmem252	Tmem252
PGM5	Pgm5	Pgm5
DMRT2	Dmrt2	Dmrt2
GLIS3	Glis3	Glis3
RIC1	Ric1	Ric1
ERMP1	Ermp1	Ermp1
HECTD2	Hectd2	Hectd2
MYOF	Myof	Myof
OPALIN	Opalin	Opalin
UBTD1	Ubtd1	Ubtd1
MORN4	Morn4	Morn4
COX15	Cox15	Cox15
ERLIN1	Erlin1	Erlin1
SLF2	Slf2	Slf2
TWNK	Twnk	Twnk
LZTS2	Lzts2	Lzts2
DPCD	Dpcd	Dpcd
PPRC1	Pprc1	Pprc1
WBP1L	Wbp1l	Wbp1l
TAF5	Taf5	Taf5
HABP2	Habp2	Habp2
PLEKHS1	Plekhs1	Plekhs1
AFAP1L2	Afap1l2	Afap1l2
ABLIM1	Ablim1	Ablim1
FHIP2A	Fhip2a	Fhip2a
ATRNL1	Atrnl1	Atrnl1
ENO4	Eno4	Eno4
PRLHR	Prlhr	Prlhr
NPBWR1	Npbwr1	Npbwr1
TMEM185B	Tmem185b	Tmem185b
EPB41L5	Epb41l5	Epb41l5
CFAP221	Cfap221	Cfap221
C1QL2	C1ql2	C1ql2
RAB3GAP1	Rab3gap1	Rab3gap1
ZRANB3	Zranb3	Zranb3
R3HDM1	R3hdm1	R3hdm1
YOD1	Yod1	Yod1
DYRK3	Dyrk3	Dyrk3
RAB7B	Rab7b	Rab7b
IPO9	Ipo9	Ipo9
IGFN1	Igfn1	Igfn1
ASCL5	Ascl5	Ascl5
ZNF281	Zfp281	Zfp281
ZBTB41	Zbtb41	Zbtb41
ODR4	Odr4	Odr4
SMG7	Smg7	Smg7
NMNAT2	Nmnat2	Nmnat2
RASAL2	Rasal2	Rasal2
DARS2	Dars2	Dars2
KLHL20	Klhl20	Klhl20
APH1A	Aph1a	Aph1a
SUCO	Suco	Suco
PRRC2C	Prrc2c	Prrc2c
FMO4	Fmo4	NA
TIPRL	Tiprl	Tiprl
RCSD1	Rcsd1	Rcsd1
FAM78B	Fam78b	Fam78b
ATF6	Atf6	Atf6
NDUFS2	Ndufs2	Ndufs2
ARHGAP30	Arhgap30	Arhgap30
TSTD1	Tstd1	Tstd1
BECN2	Becn2	Becn2
CNST	Cnst	Cnst
AHCTF1	Ahctf1	Ahctf1
WDR26	Wdr26	Wdr26
C1orf115	C130074G19Rik	C13h1orf115
SLC30A10	Slc30a10	Slc30a10
LYPLAL1	Lyplal1	Lyplal1
KCTD3	Kctd3	Kctd3
SMYD2	Smyd2	Smyd2
VASH2	Vash2	Vash2
FLVCR1	Flvcr1	Flvcr1
PPP2R5A	Ppp2r5a	Ppp2r5a
LPGAT1	Lpgat1	Lpgat1
HHAT	Hhat	Hhat
SBSPON	Sbspon	Sbspon
TFAP2D	Tfap2d	Tfap2d
KCNQ5	Kcnq5	Kcnq5
ARHGEF4	Arhgef4	Arhgef4
PLEKHB2	Plekhb2	Plekhb2
KANSL3	Kansl3	Kansl3
ACTR1B	Actr1b	Actr1b
EIF5B	Eif5b	Eif5b
SLC39A10	Slc39a10	Slc39a10
NEMP2	Nemp2	Nemp2
HIBCH	Hibch	Hibch
PMS1	Pms1	Pms1
ORMDL1	Ormdl1	Ormdl1
STRADB	Stradb	Stradb
INO80D	Ino80d	Ino80d
NDUFS1	Ndufs1	Ndufs1
CCNYL1	Ccnyl1	Ccnyl1
CPS1	Cps1	Cps1
GPBAR1	Gpbar1	Gpbar1
AAMP	Aamp	Aamp
CTDSP1	Ctdsp1	Ctdsp1
RETREG2	Retreg2	Retreg2
DNER	Dner	Dner
GPR55	Gpr55	Gpr55
B3GNT7	B3gnt7	B3gnt7
GIGYF2	Gigyf2	Gigyf2
DGKD	Dgkd	Dgkd
USP40	Usp40	Usp40
ESPNL	Espnl	Espnl
ERFE	Erfe	Erfe
FARP2	Farp2	Farp2
SLCO4C1	Slco4c1	Slco4c1
PPIP5K2	Ppip5k2	Ppip5k2
RELCH	Relch	Relch
ZCCHC2	Zcchc2	Zcchc2
CDH19	Cdh19	Cdh19
RPP38	Rpp38	Rpp38
DCLRE1C	Dclre1c	Dclre1c
CDNF	Cdnf	Cdnf
CAMK1D	Camk1d	Camk1d
PROSER2	Proser2	Proser2
C1QL3	C1ql3	C1ql3
TBPL2	Tbpl2	Tbpl2
TOR4A	Tor4a	Tor4a
TUBB4B	Tubb4b	Tubb4b
TMEM203	Tmem203	Tmem203
LRRC26	Lrrc26	Lrrc26
MAN1B1	Man1b1	Man1b1
UAP1L1	Uap1l1	Uap1l1
PAXX	Paxx	Paxx
RABL6	Rabl6	Rabl6
SOHLH1	Sohlh1	Sohlh1
CAMSAP1	Camsap1	Camsap1
QSOX2	Qsox2	Qsox2
SNAPC4	Snapc4	Snapc4
SEC16A	Sec16a	Sec16a
REXO4	Rexo4	Rexo4
SLC2A6	Slc2a6	Slc2a6
GBGT1	Gbgt1	Gbgt1
DDX31	Ddx31	Ddx31
TRUB2	Trub2	Trub2
COQ4	Coq4	Coq4
ZER1	Zer1	Zer1
SPOUT1	Spout1	Spout1
PHYHD1	Phyhd1	Phyhd1
DOLK	Dolk	Dolk
NUP188	Nup188	Nup188
SH3GLB2	Sh3glb2	Sh3glb2
C9orf78	BC005624	C3h9orf78
EXOSC2	Exosc2	Exosc2
QRFP	Qrfp	Qrfp
NUP214	Nup214	Nup214
PLPP7	Plpp7	Plpp7
PRRC2B	Prrc2b	Prrc2b
SLC25A25	Slc25a25	Slc25a25
PIP5KL1	Pip5kl1	Pip5kl1
CFAP157	Cfap157	Cfap157
NIBAN2	Niban2	Niban2
LRSAM1	Lrsam1	Lrsam1
MAPKAP1	Mapkap1	Mapkap1
RABEPK	Rabepk	Rabepk
GSN	Gsn	Gsn
RABGAP1	Rabgap1	Rabgap1
DENND1A	Dennd1a	Dennd1a
GTDC1	Gtdc1	Gtdc1
EPC2	Epc2	Epc2
CYTIP	Cytip	Cytip
CCDC148	Ccdc148	Ccdc148
PKP4	Pkp4	Pkp4
GCA	Gca	Gca
TLK1	Tlk1	Tlk1
METTL8	Mettl8	Mettl8
SESTD1	Sestd1	Sestd1
CERKL	Cerkl	Cerkl
ZDHHC5	Zdhhc5	Zdhhc5
TNKS1BP1	Tnks1bp1	Tnks1bp1
CSTPP1	Cstpp1	Cstpp1
ARHGAP1	Arhgap1	Arhgap1
LARGE2	Large2	Large2
SLC35C1	Slc35c1	Slc35c1
CSTF3	Cstf3	Cstf3
PRRG4	Prrg4	Prrg4
KIF18A	Kif18a	Kif18a
ANO3	Ano3	Ano3
ARHGAP11A	Arhgap11a	Arhgap11a
ZNF770	Zfp770	Zfp770
BAHD1	Bahd1	Bahd1
VPS18	Vps18	Vps18
FRMD5	Frmd5	Frmd5
MALL	Mall	Mall
EBF4	Ebf4	Ebf4
DNAAF9	Dnaaf9	Dnaaf9
MAVS	Mavs	Mavs
SMOX	Smox	Smox
BTBD3	Btbd3	Btbd3
SPTLC3	Sptlc3	Sptlc3
SEL1L2	Sel1l2	Sel1l2
KAT14	Kat14	Kat14
SMIM26	Smim26	Smim26
KIZ	Kiz	Kiz
NKX2-4	Nkx2-4	Nkx2-4
CSTL1	Cstl1	Cstl1
SDCBP2	Sdcbp2	Sdcbp2
C20orf202	Tmem74bos	Tmem74bos
PSMF1	Psmf1	Psmf1
RSPO4	Rspo4	Rspo4
TRIB3	Trib3	Trib3
NRSN2	Nrsn2	Nrsn2
C20orf96	6820408C15Rik	C3h20orf96
XKR7	Xkr7	Xkr7
CCM2L	Ccm2l	Ccm2l
ASXL1	Asxl1	Asxl1
BPIFB6	Bpifb6	Bpifb6
BPIFB1	Bpifb1	Bpifb1
ZNF341	Zfp341	Zfp341
PIGU	Pigu	Pigu
PHF20	Phf20	Phf20
DLGAP4	Dlgap4	Dlgap4
TGIF2	Tgif2	Tgif2
KIAA1755	D630003M21Rik	Kiaa1755
RALGAPB	Ralgapb	Ralgapb
PPP1R16B	Ppp1r16b	Ppp1r16b
GDAP1L1	Gdap1l1	Gdap1l1
FITM2	Fitm2	Fitm2
PCIF1	Pcif1	Pcif1
NCOA5	Ncoa5	Ncoa5
SLC35C2	Slc35c2	Slc35c2
ZMYND8	Zmynd8	Zmynd8
DDX27	Ddx27	Ddx27
TSHZ2	Tshz2	Tshz2
ZNF217	Zfp217	Zfp217
CBLN4	Cbln4	Cbln4
STX16	Stx16	Stx16
NPEPL1	Npepl1	Npepl1
PPP1R3D	Ppp1r3d	Ppp1r3d
TAF4	Taf4	Taf4
OSBPL2	Osbpl2	Osbpl2
SLC17A9	Slc17a9	Slc17a9
YTHDF1	Ythdf1	Ythdf1
ARFGAP1	Arfgap1	Arfgap1
HELZ2	Helz2	Helz2
ZGPAT	Zgpat	Zgpat
SAMD10	Samd10	Samd10
YTHDF3	Ythdf3	Ythdf3
ACAD9	Acad9	Acad9
BLTP1	Bltp1	Bltp1
STOML3	Stoml3	Stoml3
HNRNPA3	Hnrnpa3	Hnrnpa3
SPART	Spart	Spart
EIF2A	Eif2a	Eif2a
CLRN1	Clrn1	Clrn1
GPR171	Gpr171	Gpr171
GMPS	Gmps	Gmps
OTOL1	Otol1	Otol1
CTSO	Ctso	Ctso
TMEM131L	Tmem131l	Tmem131l
FHDC1	Fhdc1	Fhdc1
GATB	Gatb	Gatb
FHIP1A	Fhip1a	Fhip1a
METTL25B	Mettl25b	Mettl25b
ISG20L2	Isg20l2	Isg20l2
SMG5	Smg5	Smg5
SLC25A44	Slc25a44	Slc25a44
MSTO1	Msto1	Msto1
PBXIP1	Pbxip1	Pbxip1
DENND4B	Dennd4b	Dennd4b
GATAD2B	Gatad2b	Gatad2b
INTS3	Ints3	Ints3
SPRR4	Sprr4	Sprr4
POGZ	Pogz	Pogz
C1orf56	Gm128	C2h1orf56
PRUNE1	Prune1	Prune1
GOLPH3L	Golph3l	Golph3l
ADAMTSL4	Adamtsl4	Adamtsl4
CIART	Ciart	Ciart
C1orf54	BC028528	C2h1orf54
OTUD7B	Otud7b	Otud7b
TRIM45	Trim45	Trim45
VANGL1	Vangl1	Vangl1
BCL2L15	Bcl2l15	Bcl2l15
RSBN1	Rsbn1	Rsbn1
ST7L	St7l	St7l
SLC16A4	Slc16a4	Slc16a4
RBM15	Rbm15	Rbm15
SLC6A17	Slc6a17	Slc6a17
STRIP1	Strip1	Strip1
AHCYL1	Ahcyl1	Ahcyl1
GPR61	Gpr61	Gpr61
AMIGO1	Amigo1	Amigo1
ELAPOR1	Elapor1	Elapor1
OLFM3	Olfm3	Olfm3
CDC14A	Cdc14a	Cdc14a
TRMT13	Trmt13	Trmt13
SLC35A3	Slc35a3	Slc35a3
PLPPR4	Plppr4	Plppr4
TRAM1L1	Tram1l1	Tram1l1
CENPE	Cenpe	Cenpe
RAP1GDS1	Rap1gds1	Rap1gds1
KYAT3	Kyat3	Kyat3
CLCA2	Clca2	Clca2
ZNHIT6	Znhit6	Znhit6
AK5	Ak5	Ak5
PRDM13	Prdm13	Prdm13
RIGI	Rigi	Rig1
NDUFB6	Ndufb6	Ndufb6
NOL6	Nol6	Nol6
PHF24	Phf24	Phf24
ATOSB	Atosb	Atosb
ARHGEF39	Arhgef39	Arhgef39
CA9	Car9	Car9
GBA2	Gba2	Gba2
ZBTB5	Zbtb5	Zbtb5
SLC25A51	Slc25a51	Slc25a51
SHB	Shb	Shb
GALNT12	Galnt12	Galnt12
ZNF189	Zfp189	Zfp189
ABITRAM	Abitram	Abitram
FRRS1L	Frrs1l	Frrs1l
ECPAS	Ecpas	Ecpas
KIAA1958	E130308A19Rik	Kiaa1958
TMEM268	Tmem268	Tmem268
MEGF9	Megf9	Megf9
HAUS6	Haus6	Haus6
ACER2	Acer2	Acer2
FOCAD	Focad	Focad
IFNE	Ifne	Ifne
USP1	Usp1	Usp1
EFCAB7	Efcab7	Efcab7
C8A	C8a	C8a
TTC22	Ttc22	Ttc22
PARS2	Pars2	Pars2
FAM151A	Fam151a	Fam151a
CYB5RL	Cyb5rl	Cyb5rl
YIPF1	Yipf1	Yipf1
GLIS1	Glis1	Glis1
ZYG11A	Zyg11a	Zyg11a
TUT4	Tut4	Tut4
PRPF38A	Prpf38a	Prpf38a
ZFYVE9	Zfyve9	Zfyve9
TTC39A	Ttc39a	Ttc39a
SLC5A9	Slc5a9	Slc5a9
EFCAB14	Efcab14	Efcab14
ATPAF1	Atpaf1	Atpaf1
LRRC41	Lrrc41	Lrrc41
TMEM69	Tmem69	Tmem69
KDM4A	Kdm4a	Kdm4a
SZT2	Szt2	Szt2
TMEM125	Tmem125	NA
C1orf50	AU022252	C5h1orf50
FOXJ3	Foxj3	Foxj3
ZMPSTE24	Zmpste24	Zmpste24
